Time,FPS 
1305,1000
1306,1000
1307,1000
1308,1000
1309,1000
1310,1000
1311,1000
1312,1000
1313,1000
1313,0
1314,1000
1315,1000
1316,1000
1316,0
1317,1000
1318,1000
1319,1000
1320,1000
1321,1000
1322,1000
1323,1000
1324,1000
1325,1000
1326,1000
1327,1000
1327,0
1328,1000
1329,1000
1330,1000
1331,1000
1331,0
1332,1000
1333,1000
1334,1000
1335,1000
1336,1000
1337,1000
1337,0
1339,500
1340,1000
1341,1000
1342,1000
1342,0
1343,1000
1344,1000
1345,1000
1345,0
1346,1000
1347,1000
1348,1000
1348,0
1349,1000
1350,1000
1351,1000
1352,1000
1353,1000
1354,1000
1355,1000
1356,1000
1357,1000
1358,1000
1359,1000
1360,1000
1361,1000
1362,1000
1363,1000
1363,0
1364,1000
1365,1000
1366,1000
1368,500
1369,1000
1370,1000
1371,1000
1373,500
1374,1000
1375,1000
1376,1000
1377,1000
1377,0
1378,1000
1379,1000
1380,1000
1381,1000
1382,1000
1382,0
1383,1000
1384,1000
1385,1000
1386,1000
1386,0
1387,1000
1388,1000
1389,1000
1390,1000
1391,1000
1392,1000
1392,0
1394,500
1395,1000
1396,1000
1397,1000
1399,500
1400,1000
1401,1000
1402,1000
1404,500
1405,1000
1406,1000
1408,500
1409,1000
1411,500
1413,500
1414,1000
1415,1000
1417,500
1419,500
1420,1000
1421,1000
1422,1000
1423,1000
1424,1000
1425,1000
1425,0
1426,1000
1427,1000
1428,1000
1429,1000
1430,1000
1431,1000
1432,1000
1432,0
1433,1000
1434,1000
1435,1000
1436,1000
1437,1000
1438,1000
1439,1000
1440,1000
1441,1000
1442,1000
1443,1000
1444,1000
1445,1000
1446,1000
1448,500
1449,1000
1450,1000
1451,1000
1452,1000
1453,1000
1455,500
1456,1000
1457,1000
1459,500
1460,1000
1460,0
1461,1000
1462,1000
1463,1000
1464,1000
1465,1000
1466,1000
1467,1000
1468,1000
1469,1000
1470,1000
1471,1000
1473,500
1474,1000
1476,500
1476,0
1477,1000
1478,1000
1479,1000
1480,1000
1481,1000
1482,1000
1482,0
1483,1000
1484,1000
1486,500
1487,1000
1488,1000
1489,1000
1491,500
1492,1000
1494,500
1495,1000
1497,500
1498,1000
1498,0
1499,1000
1501,500
1502,1000
1503,1000
1505,500
1506,1000
1507,1000
1509,500
1510,1000
1511,1000
1512,1000
1513,1000
1514,1000
1515,1000
1516,1000
1517,1000
1519,500
1520,1000
1521,1000
1523,500
1524,1000
1525,1000
1526,1000
1527,1000
1529,500
1530,1000
1531,1000
1532,1000
1534,500
1536,500
1537,1000
1538,1000
1539,1000
1541,500
1542,1000
1543,1000
1544,1000
1545,1000
1546,1000
1547,1000
1548,1000
1549,1000
1550,1000
1551,1000
1552,1000
1553,1000
1554,1000
1555,1000
1556,1000
1558,500
1559,1000
1561,500
1562,1000
1563,1000
1564,1000
1565,1000
1566,1000
1567,1000
1569,500
1570,1000
1571,1000
1572,1000
1574,500
1575,1000
1576,1000
1577,1000
1578,1000
1579,1000
1580,1000
1581,1000
1581,0
1582,1000
1583,1000
1584,1000
1585,1000
1586,1000
1587,1000
1588,1000
1589,1000
1591,500
1592,1000
1592,0
1593,1000
1594,1000
1595,1000
1596,1000
1597,1000
1597,0
1598,1000
1599,1000
1600,1000
1601,1000
1602,1000
1603,1000
1605,500
1606,1000
1607,1000
1608,1000
1609,1000
1610,1000
1611,1000
1612,1000
1612,0
1613,1000
1614,1000
1615,1000
1616,1000
1617,1000
1617,0
1619,500
1620,1000
1621,1000
1622,1000
1623,1000
1624,1000
1626,500
1627,1000
1627,0
1628,1000
1629,1000
1629,0
1631,500
1632,1000
1632,0
1633,1000
1634,1000
1635,1000
1636,1000
1637,1000
1638,1000
1639,1000
1641,500
1642,1000
1642,0
1643,1000
1644,1000
1645,1000
1645,0
1646,1000
1647,1000
1648,1000
1648,0
1649,1000
1650,1000
1651,1000
1652,1000
1653,1000
1654,1000
1655,1000
1656,1000
1657,1000
1658,1000
1659,1000
1659,0
1660,1000
1661,1000
1663,500
1664,1000
1665,1000
1666,1000
1667,1000
1668,1000
1669,1000
1670,1000
1672,500
1673,1000
1674,1000
1676,1000
1676,1000
1677,1000
1679,500
1679,0
1680,1000
1681,1000
1682,1000
1683,1000
1685,500
1686,1000
1687,1000
1688,1000
1689,1000
1690,1000
1691,1000
1692,1000
1693,1000
1694,1000
1694,0
1695,1000
1696,1000
1697,1000
1698,1000
1699,1000
1700,1000
1700,0
1702,500
1702,0
1703,1000
1704,1000
1705,1000
1707,500
1708,1000
1709,1000
1710,1000
1710,0
1711,1000
1712,1000
1713,1000
1714,1000
1715,1000
1715,0
1716,1000
1717,1000
1718,1000
1719,1000
1720,1000
1722,500
1723,1000
1724,1000
1725,1000
1726,1000
1726,0
1727,1000
1728,1000
1729,1000
1730,1000
1731,1000
1732,1000
1733,1000
1734,1000
1735,1000
1736,1000
1737,1000
1739,500
1740,1000
1741,1000
1742,1000
1743,1000
1744,1000
1744,0
1745,1000
1746,1000
1747,1000
1748,1000
1749,1000
1749,0
1750,1000
1751,1000
1752,1000
1753,1000
1754,1000
1755,1000
1756,1000
1757,1000
1758,1000
1759,1000
1760,1000
1761,1000
1762,1000
1762,0
1763,1000
1764,1000
1765,1000
1765,0
1766,1000
1767,1000
1768,1000
1769,1000
1770,1000
1771,1000
1772,1000
1773,1000
1774,1000
1775,1000
1776,1000
1777,1000
1778,1000
1779,1000
1780,1000
1781,1000
1782,1000
1783,1000
1784,1000
1785,1000
1786,1000
1788,500
1789,1000
1790,1000
1791,1000
1792,1000
1793,1000
1794,1000
1794,0
1795,1000
1796,1000
1797,1000
1798,1000
1799,1000
1799,0
1800,1000
1801,1000
1803,500
1803,0
1804,1000
1805,1000
1806,1000
1807,1000
1808,1000
1809,1000
1810,1000
1811,1000
1811,0
1812,1000
1813,1000
1814,1000
1815,1000
1815,0
1816,1000
1817,1000
1818,1000
1819,1000
1820,1000
1821,1000
1822,1000
1823,1000
1824,1000
1825,1000
1826,1000
1826,0
1827,1000
1828,1000
1829,1000
1829,0
1830,1000
1831,1000
1832,1000
1832,0
1833,1000
1834,1000
1835,1000
1836,1000
1837,1000
1838,1000
1839,1000
1840,1000
1841,1000
1842,1000
1843,1000
1844,1000
1845,1000
1846,1000
1846,0
1847,1000
1848,1000
1849,1000
1850,1000
1850,0
1852,500
1853,1000
1854,1000
1855,1000
1856,1000
1857,1000
1858,1000
1859,1000
1860,1000
1861,1000
1862,1000
1863,1000
1864,1000
1865,1000
1866,1000
1866,0
1867,1000
1868,1000
1869,1000
1870,1000
1871,1000
1872,1000
1873,1000
1874,1000
1875,1000
1876,1000
1877,1000
1877,0
1878,1000
1879,1000
1880,1000
1880,0
1881,1000
1882,1000
1883,1000
1884,1000
1885,1000
1886,1000
1887,1000
1888,1000
1889,1000
1891,500
1892,1000
1892,0
1893,1000
1894,1000
1895,1000
1896,1000
1897,1000
1897,0
1898,1000
1899,1000
1900,1000
1901,1000
1902,1000
1903,1000
1904,1000
1905,1000
1906,1000
1908,500
1909,1000
1910,1000
1910,0
1911,1000
1912,1000
1914,500
1915,1000
1915,0
1916,1000
1917,1000
1918,1000
1920,500
1921,1000
1922,1000
1924,500
1925,1000
1926,1000
1926,0
1927,1000
1928,1000
1929,1000
1930,1000
1930,0
1931,1000
1932,1000
1933,1000
1934,1000
1934,0
1936,500
1937,1000
1938,1000
1939,1000
1941,500
1942,1000
1943,1000
1944,1000
1944,0
1945,1000
1946,1000
1947,1000
1948,1000
1949,1000
1949,0
1950,1000
1951,1000
1952,1000
1953,1000
1954,1000
1955,1000
1957,500
1958,1000
1959,1000
1960,1000
1961,1000
1962,1000
1963,1000
1963,0
1964,1000
1965,1000
1966,1000
1967,1000
1968,1000
1969,1000
1970,1000
1971,1000
1972,1000
1974,500
1975,1000
1976,1000
1977,1000
1978,1000
1979,1000
1979,0
1980,1000
1981,1000
1982,1000
1983,1000
1984,1000
1984,0
1986,500
1987,1000
1988,1000
1988,0
1990,500
1991,1000
1992,1000
1993,1000
1994,1000
1995,1000
1996,1000
1996,0
1997,1000
1998,1000
1998,0
1999,1000
2000,1000
2001,1000
